"region_fullname","childhood_conditions_group_id_2000_to_2005","childhood_conditions_group_id_2006_to_2011","childhood_conditions_group_id_2012_to_2017","childhood_conditions_group_id_2018_to_2024","childhood_conditions_group_name_2000_to_2005","childhood_conditions_group_name_2006_to_2011","childhood_conditions_group_name_2012_to_2017","childhood_conditions_group_name_2018_to_2024","labour_market_opportunities_group_id_2000_to_2005","labour_market_opportunities_group_id_2006_to_2011","labour_market_opportunities_group_id_2012_to_2017","labour_market_opportunities_group_id_2018_to_2024","labour_market_opportunities_group_name_2000_to_2005","labour_market_opportunities_group_name_2006_to_2011","labour_market_opportunities_group_name_2012_to_2017","labour_market_opportunities_group_name_2018_to_2024","innovation_and_growth_group_id_2000_to_2005","innovation_and_growth_group_id_2006_to_2011","innovation_and_growth_group_id_2012_to_2017","innovation_and_growth_group_id_2018_to_2024","innovation_and_growth_group_name_2000_to_2005","innovation_and_growth_group_name_2006_to_2011","innovation_and_growth_group_name_2012_to_2017","innovation_and_growth_group_name_2018_to_2024","promising_prospects_group_id_2018_to_2020","promising_prospects_group_id_2021_to_2024","promising_prospects_group_name_2018_to_2020","promising_prospects_group_name_2021_to_2024","region_url"
"East Ayrshire","2","2","2","3","Unfavourable","Unfavourable","Unfavourable","Lower Middling","2","2","2","3","Unfavourable","Unfavourable","Unfavourable","Lower Middling","3","2","2","2","Lower Middling","Unfavourable","Unfavourable","Unfavourable","2","3","Unfavourable","Lower Middling","east_ayrshire"
"East Dunbartonshire","7","7","7","7","Most Favourable","Most Favourable","Most Favourable","Most Favourable","4","3","4","3","Middling","Lower Middling","Middling","Lower Middling","5","4","4","5","Upper Middling","Middling","Middling","Upper Middling","3","3","Lower Middling","Lower Middling","east_dunbartonshire"
"East Lothian","4","4","4","5","Middling","Middling","Middling","Upper Middling","3","4","3","3","Lower Middling","Middling","Lower Middling","Lower Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","4","Middling","Middling","east_lothian"
"East Renfrewshire","7","7","6","7","Most Favourable","Most Favourable","Favourable","Most Favourable","5","3","3","3","Upper Middling","Lower Middling","Lower Middling","Lower Middling","5","5","5","4","Upper Middling","Upper Middling","Upper Middling","Middling","3","4","Lower Middling","Middling","east_renfrewshire"
"East Riding of Yorkshire","4","4","4","4","Middling","Middling","Middling","Middling","3","4","2","4","Lower Middling","Middling","Unfavourable","Middling","4","4","4","3","Middling","Middling","Middling","Lower Middling","4","3","Middling","Lower Middling","east_riding_of_yorkshire"
"East Sussex CC","5","4","4","4","Upper Middling","Middling","Middling","Middling","4","4","3","3","Middling","Middling","Lower Middling","Lower Middling","4","4","3","4","Middling","Middling","Lower Middling","Middling","5","6","Upper Middling","Favourable","east_sussex_cc"
"Enfield","4","4","4","4","Middling","Middling","Middling","Middling","5","4","4","4","Upper Middling","Middling","Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","5","7","Upper Middling","Most Favourable","enfield"
"Essex","4","4","4","4","Middling","Middling","Middling","Middling","5","4","5","5","Upper Middling","Middling","Upper Middling","Upper Middling","4","4","4","4","Middling","Middling","Middling","Middling","5","4","Upper Middling","Middling","essex"
"Falkirk","4","4","4","4","Middling","Middling","Middling","Middling","4","5","4","3","Middling","Upper Middling","Middling","Lower Middling","3","4","4","4","Lower Middling","Middling","Middling","Middling","2","3","Unfavourable","Lower Middling","falkirk"
"Fife","4","4","4","4","Middling","Middling","Middling","Middling","3","3","3","2","Lower Middling","Lower Middling","Lower Middling","Unfavourable","4","4","4","4","Middling","Middling","Middling","Middling","3","2","Lower Middling","Unfavourable","fife"
