"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group","Index of 'labour market opportunities for young people' ('Z-scores')","Group"
"South Ayrshire","-0.424","Middling","-0.666","Lower Middling","-1.115","Unfavourable","-0.688","Lower Middling"
"South Gloucestershire","1.117","Favourable","0.403","Middling","0.934","Upper Middling","1.562","Most Favourable"
"South Lanarkshire","0.048","Middling","-0.153","Middling","-0.39","Middling","-0.154","Middling"
"South Tyneside","-0.524","Lower Middling","-0.335","Middling","-0.229","Middling","-0.871","Lower Middling"
"Southampton","0.492","Middling","-0.334","Middling","0.537","Upper Middling","0.054","Middling"
"Southend-on-Sea","0.533","Upper Middling","0.914","Upper Middling","0.925","Upper Middling","0.247","Middling"
"Southwark","3.524","Most Favourable","2.51","Most Favourable","2.091","Most Favourable","1.25","Favourable"
"St Helens","0.432","Middling","-0.602","Lower Middling","-0.563","Lower Middling","-0.416","Middling"
"Staffordshire CC","-0.123","Middling","-0.584","Lower Middling","-0.297","Middling","-0.203","Middling"
"Stirling","-0.832","Lower Middling","-1.16","Unfavourable","-0.606","Lower Middling","-0.414","Middling"
"Stockport","0.352","Middling","1.022","Favourable","0.918","Upper Middling","0.138","Middling"
"Stockton-on-Tees","-1.298","Unfavourable","-0.347","Middling","-0.253","Middling","-1.068","Unfavourable"
"Stoke-on-Trent","-0.559","Lower Middling","-0.552","Lower Middling","-0.603","Lower Middling","-1.178","Unfavourable"
"Suffolk CC","-0.392","Middling","-0.365","Middling","0.16","Middling","0.07","Middling"
"Sunderland","-0.913","Lower Middling","-0.806","Lower Middling","-0.803","Lower Middling","-0.849","Lower Middling"
"Surrey","0.802","Upper Middling","0.529","Upper Middling","0.764","Upper Middling","1.269","Favourable"
"Sutton","1.439","Favourable","1.529","Most Favourable","0.371","Middling","1.69","Most Favourable"
"Swansea","-0.62","Lower Middling","-0.886","Lower Middling","-0.898","Lower Middling","-1.154","Unfavourable"
"Swindon","0.12","Middling","0.242","Middling","0.48","Middling","1.261","Favourable"
"Tameside","0.377","Middling","0.158","Middling","-0.387","Middling","-0.017","Middling"
"Telford and Wrekin","-0.906","Lower Middling","-0.609","Lower Middling","-0.38","Middling","-0.529","Lower Middling"
"Thurrock","0.578","Upper Middling","0.065","Middling","0.89","Upper Middling","1.005","Favourable"
"Torbay","-0.9","Lower Middling","0.021","Middling","-0.822","Lower Middling","-0.802","Lower Middling"
"Torfaen","-0.198","Middling","-0.724","Lower Middling","-1.538","Least Favourable","-0.445","Middling"
"Tower Hamlets","2.829","Most Favourable","2.63","Most Favourable","1.972","Most Favourable","1.382","Favourable"
"Trafford","0.77","Upper Middling","0.517","Upper Middling","0.504","Upper Middling","0.672","Upper Middling"
"Vale of Glamorgan","-0.39","Middling","-0.471","Middling","0.47","Middling","-0.745","Lower Middling"
"Wakefield","0.072","Middling","-0.201","Middling","-0.391","Middling","-0.739","Lower Middling"
"Walsall","-0.339","Middling","-0.396","Middling","-0.534","Lower Middling","-0.668","Lower Middling"
"Waltham Forest","0.936","Upper Middling","0.091","Middling","-0.035","Middling","0.087","Middling"
"Wandsworth","3.799","Most Favourable","4.445","Most Favourable","4.592","Most Favourable","4.085","Most Favourable"
"Warrington","0.133","Middling","0.161","Middling","0.168","Middling","0.283","Middling"
"Warwickshire CC","0.168","Middling","0.689","Upper Middling","0.24","Middling","0.194","Middling"
"West Berkshire","0.58","Upper Middling","1.093","Favourable","0.854","Upper Middling","1.534","Most Favourable"
"West Dunbartonshire","0.026","Middling","-0.815","Lower Middling","-0.654","Lower Middling","-1.076","Unfavourable"
"West Lothian","-0.933","Lower Middling","-0.736","Lower Middling","-0.459","Middling","-0.288","Middling"
"West Northamptonshire","0.594","Upper Middling","0.258","Middling","0.013","Middling","0.194","Middling"
"West Sussex","-0.21","Middling","0.089","Middling","0.074","Middling","0.148","Middling"
"Westminster","2.66","Most Favourable","2.629","Most Favourable","3.486","Most Favourable","2.874","Most Favourable"
"Wigan","0.235","Middling","-0.418","Middling","-0.114","Middling","-0.347","Middling"
"Wiltshire","-0.372","Middling","0.003","Middling","-0.293","Middling","-0.363","Middling"
"Windsor and Maidenhead","0.49","Middling","2.15","Most Favourable","1.282","Favourable","1.956","Most Favourable"
"Wirral","-0.42","Middling","-0.354","Middling","-0.242","Middling","-0.377","Middling"
"Wokingham","0.325","Middling","1.625","Most Favourable","1.46","Favourable","1.645","Most Favourable"
"Wolverhampton","-0.683","Lower Middling","-0.872","Lower Middling","-0.436","Middling","-0.781","Lower Middling"
"Worcestershire CC","0.028","Middling","-0.004","Middling","-0.189","Middling","-0.379","Middling"
"Wrexham","-0.519","Lower Middling","-0.699","Lower Middling","-0.278","Middling","-0.729","Lower Middling"
"York","0.592","Upper Middling","-0.326","Middling","0.121","Middling","-0.224","Middling"
