"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group"
"Southwark","1.443","Favourable","0.829","Upper Middling","0.373","Middling","0.267","Middling"
"St Helens","-0.608","Lower Middling","-0.738","Lower Middling","-1.209","Unfavourable","-0.713","Lower Middling"
"Staffordshire CC","0.344","Middling","0.008","Middling","0.158","Middling","-0.042","Middling"
"Stirling","0.927","Upper Middling","1.408","Favourable","1.603","Most Favourable","1.351","Favourable"
"Stockport","1.133","Favourable","1.087","Favourable","1.057","Favourable","0.333","Middling"
"Stockton-on-Tees","-0.545","Lower Middling","-0.397","Middling","-0.827","Lower Middling","-0.673","Lower Middling"
"Stoke-on-Trent","-1.214","Unfavourable","-1.599","Least Favourable","-1.588","Least Favourable","-1.708","Least Favourable"
"Suffolk CC","-0.646","Lower Middling","-0.275","Middling","-0.128","Middling","0.012","Middling"
"Sunderland","-1.198","Unfavourable","-1.253","Unfavourable","-1.097","Unfavourable","-1.254","Unfavourable"
"Surrey","2.08","Most Favourable","1.916","Most Favourable","2.188","Most Favourable","2.213","Most Favourable"
"Sutton","1.704","Most Favourable","1.328","Favourable","0.851","Upper Middling","0.944","Upper Middling"
"Swansea","-0.229","Middling","-0.576","Lower Middling","-0.052","Middling","-0.291","Middling"
"Swindon","-0.025","Middling","0.233","Middling","0.02","Middling","0.192","Middling"
"Tameside","-0.531","Lower Middling","-0.792","Lower Middling","-0.936","Lower Middling","-0.724","Lower Middling"
"Telford and Wrekin","-0.992","Lower Middling","-0.456","Middling","-0.775","Lower Middling","-0.658","Lower Middling"
"Thurrock","-0.002","Middling","-0.621","Lower Middling","-0.545","Lower Middling","-0.928","Lower Middling"
"Torbay","-0.754","Lower Middling","-0.734","Lower Middling","-0.67","Lower Middling","-1.131","Unfavourable"
"Torfaen","-0.673","Lower Middling","-1.407","Unfavourable","-1.251","Unfavourable","-0.694","Lower Middling"
"Tower Hamlets","-0.678","Lower Middling","-1.075","Unfavourable","-1.523","Least Favourable","-1.887","Least Favourable"
"Trafford","1.468","Favourable","1.134","Favourable","1.417","Favourable","0.624","Upper Middling"
"Vale of Glamorgan","0.298","Middling","1.395","Favourable","0.587","Upper Middling","0.573","Upper Middling"
"Wakefield","-0.942","Lower Middling","-1.023","Unfavourable","-1.228","Unfavourable","-0.913","Lower Middling"
"Walsall","-1.378","Unfavourable","-1.17","Unfavourable","-1.26","Unfavourable","-1.13","Unfavourable"
"Waltham Forest","0.653","Upper Middling","-0.07","Middling","-0.349","Middling","-0.116","Middling"
"Wandsworth","2.64","Most Favourable","3.098","Most Favourable","2.435","Most Favourable","2.748","Most Favourable"
"Warrington","0.31","Middling","0.817","Upper Middling","0.903","Upper Middling","0.334","Middling"
"Warwickshire CC","0.751","Upper Middling","0.708","Upper Middling","0.547","Upper Middling","0.421","Middling"
"West Berkshire","1.592","Most Favourable","1.693","Most Favourable","1.126","Favourable","1.535","Most Favourable"
"West Dunbartonshire","-1.187","Unfavourable","-0.394","Middling","-0.63","Lower Middling","-0.787","Lower Middling"
"West Lothian","-0.149","Middling","0.112","Middling","0.363","Middling","0.092","Middling"
"West Northamptonshire","0.287","Middling","0.102","Middling","0.621","Upper Middling","0.343","Middling"
"West Sussex","0.838","Upper Middling","0.694","Upper Middling","0.687","Upper Middling","0.708","Upper Middling"
"Westminster","1.245","Favourable","1.888","Most Favourable","1.047","Favourable","0.711","Upper Middling"
"Wigan","-0.334","Middling","-0.664","Lower Middling","-0.446","Middling","-0.649","Lower Middling"
"Wiltshire","0.59","Upper Middling","0.895","Upper Middling","0.64","Upper Middling","0.739","Upper Middling"
"Windsor and Maidenhead","2.187","Most Favourable","2.312","Most Favourable","1.951","Most Favourable","2.707","Most Favourable"
"Wirral","0.224","Middling","-0.125","Middling","0.013","Middling","0.04","Middling"
"Wokingham","2.383","Most Favourable","2.498","Most Favourable","2.453","Most Favourable","2.355","Most Favourable"
"Wolverhampton","-1.534","Least Favourable","-0.81","Lower Middling","-1.05","Unfavourable","-1.233","Unfavourable"
"Worcestershire CC","-0.049","Middling","0.66","Upper Middling","0.313","Middling","0.303","Middling"
"Wrexham","-0.816","Lower Middling","-0.584","Lower Middling","-1.115","Unfavourable","-0.769","Lower Middling"
"York","0.955","Upper Middling","0.785","Upper Middling","0.864","Upper Middling","0.558","Upper Middling"
